,0
g_{0},-5.507146487919
g_{1},-4.41071351409
g_{2},-5.068037830841
g_{3},-10.317252854993
"p_{0,0}",-9.956721479633
"p_{0,1}",-10.610089439672
"p_{0,2}",-15.503331076393
"p_{0,3}",-15.506170330077
"p_{0,4}",-16.12861638004
"p_{0,5}",-16.158980092963
"p_{0,6}",-20.579881158286
"p_{0,7}",-20.58745396778
"p_{0,8}",-20.561158219513
"p_{0,9}",-20.576041442796
"p_{0,10}",-15.027534854345
"p_{0,11}",-14.371879413749
"p_{0,12}",-21.240650657285
"p_{0,13}",-10.625184223023
"p_{0,14}",-20.589490872289
"p_{0,15}",-21.247070400286
"p_{0,16}",-21.671505005301
"p_{0,17}",-21.708728100611
"p_{0,18}",-26.774043845943
"p_{0,19}",-26.786532503997
"p_{0,20}",-26.757431641235
"p_{0,21}",-16.167705783445
"p_{0,22}",-26.721874272166
"p_{0,23}",-26.774871631983
"p_{0,24}",-26.725649171132
"p_{0,25}",-15.395086962916
"p_{0,26}",-16.030045436385
"p_{0,27}",-16.042840489735
"p_{0,28}",-20.571034227017
"p_{0,29}",-20.574922394838
"p_{0,30}",-21.229905654835
"p_{0,31}",-26.777382030451
"p_{0,32}",-26.732293613576
"p_{0,33}",-26.789726025857
"p_{0,34}",-25.651554751644
"p_{0,35}",-31.803895059977
"p_{0,36}",-31.870408433203
"p_{0,37}",-31.800361908816
"p_{0,38}",-16.170109717138
"p_{0,39}",-16.816487607964
"p_{0,40}",-16.828058243966
"p_{0,41}",-21.644988971043
"p_{0,42}",-21.703938064119
"p_{0,43}",-21.57658922985
"p_{0,44}",-21.580103144061
"p_{0,45}",-21.684283429197
"p_{0,46}",0.0
"p_{0,47}",-26.782004855089
"p_{0,48}",-21.709347447808
"p_{0,49}",-22.333772871147
"p_{0,50}",-22.363694094206
"p_{0,51}",-26.793946026972
"p_{0,52}",-26.803225371461
"p_{0,53}",-26.727862212804
"p_{0,54}",-26.805544456031
